,road_name,lat,long
0,자하문로 12,37.5771103192454,126.972532568756
1,자하문로 44,37.5799717338378,126.97154998287
2,새문안로 46 씨티은행,37.5688134061202,126.970255557608
3,종로 세종대로 152 동아일보,37.5698677620456,126.977657083792
4,종로 14 한국무역공사,37.5698126628053,126.97886194878
5,종로 30-1 종로분식,37.5699494918632,126.980782494707
6,종로 68 대한기독교서회,37.5698922524631,126.984947413985
7,종로 78 미려빌딩,37.5698795927378,126.986041334865
8,종로 83 종각귀금속,37.5704192743349,126.9866948279
9,종로 69 우리은행,37.5705768749389,126.98531414524
10,율곡로38 방범순찰대,37.5756110009991,126.983909089113
11,삼일대로 467 노인복지센터,37.5759657913407,126.985853298403
12,종로1길 55 열린마당,37.5753403610963,126.978883253497
13,세종대로 175  세종문화회관,37.5718478584908,126.976168275947
14,통일로 132 현대자동차,37.7360086702634,126.827500989595
15,사직로8길 4 스페이스본  버스정류장,37.5746540320628,126.968575235313
16,북촌로 35  가회동주민센터,37.5800508567549,126.984789138464
17,삼청로 66 삼청파출소 앞,37.5814096566494,126.981122583707
18,삼청로 102  삼청수제비 건너편,37.5845203383665,126.982298013345
19,창경궁로 270  혜화동로터리  우리은행 앞,37.5849614355264,127.00107976031
20,대학로 112  혜화역2번출구  아르코예술극장,37.5811899477465,127.002398629301
21,종로3가 5번출구,37.5705712212658,126.989803395976
22,지봉로54,37.5747853597905,127.015867384472
23,율곡로212-1,37.5759543599276,127.002455176753
24,종로297,37.5719377164082,127.010697353235
25,지봉로73 창신초교 앞,37.5762114748296,127.014293687874
26,진흥로 456 앞,37.6068720018317,126.958441783525
27,종로30-1,37.5699494918632,126.980782494707
28,종로 68 롯데리아 앞,37.5698922524631,126.984947413985
29,종로69  서울YMCA,37.5705768749389,126.98531414524
30,종로78 아리따움 앞,37.5698795927378,126.986041334865
31,지봉로 96-2,37.5785738072042,127.015594903413
32,지봉로86,37.5778227340801,127.015628142898
33,새문안로 82,37.5697946482449,126.973931516577
34,자하문로44,37.5799717338378,126.97154998287
35,원효로1가 45  (유닉스빌딩앞 버스정류장(03-140),37.5403958008247,126.969718522289
36,후암로11 채가네볼태기앞,37.5469950240041,126.978009957423
37,후암로30길1 엘지유플러스 건너편 횡단보도앞,37.5503787088044,126.977449132685
38,소월로168번지(고엽제사무실옆),37.5479583763639,126.984237207477
39,청파로 250(남영역03-230버스정류장옆)앞 횡단보도,37.541990887675,126.970981909472
40,소월로168번지(대한민국고엽제전우회앞),37.5479583763639,126.984237207477
41,왕십리로 성동구 행당동 284,37.5597786273063,127.036904798892
42,왕십리로 성동구 행당동 347,37.5633610026494,127.031241527314
43,고산자로 행당동 196,37.5576271212625,127.034264231947
44,고산자로 행당동 322-1,37.5683728126623,127.037374714261
45,고산자로 행당동 349,37.5708231785927,127.037599388799
46,동일로 송정동97,37.5414043158798,127.063216733386
47,독서당로 금호동4가198,37.5429547395359,127.013037545113
48,독서당로173,37.5415625512366,127.010900872837
49,마조로58,37.5627804280098,127.041913332983
50,고산자로339,37.5699137996348,127.037329300601
51,고산자로281,37.5648218822196,127.03597450819
52,왕십리로280,37.5602047159985,127.038017800199
53,왕십리로320-1,37.5623203472363,127.034184322992
54,무학로2,37.5644427215751,127.030270155789
55,왕십리로363-1,37.5640461008382,127.029567673936
56,금호로158,37.5548999857582,127.020179454409
57,동일로173,37.5477125811731,127.066799552614
58,뚝섬로310,37.5407784221481,127.045773499507
59,뚝섬로436,37.5367019546624,127.059123476749
60,왕십리로89,37.5458415313708,127.044027951779
61,성수이로118,37.5451736913181,127.057857254458
62,아차산로85-1,37.5455401677531,127.053966813588
63,성수이로108,37.544546201202,127.057373589713
64,아차산로49,37.5467876194278,127.050037317792
65,왕십리로232,37.5576830954763,127.041752030283
66,청계천로10가길102,37.5715230338935,127.037434698419
67,청계천로546,37.5717149328125,127.036903782819
68,금호로141-1,37.5536805217231,127.021003460867
69,금호로168,37.5557985473598,127.020199049442
70,행당로15,37.5548599913783,127.021649440821
71,금호로60-1,37.5487345641196,127.026064768515
72,고산자로 341-1,37.570246613049,127.037374405412
73,마조로 15나길 19,37.5640234095682,127.040980808112
74,무학로 10,37.5650084288543,127.030380063685
75,무학로 44,37.5681271396775,127.030366162486
76,왕십리로 410,37.566590498762,127.02408246322
77,마장로 137,37.5678250213491,127.025053595952
78,왕십리로 327,37.5623942326737,127.033224444422
79,고산자로 197,37.5576263308862,127.033880902274
80,행당로 87,37.5572921201611,127.028544269386
81,금호로 173,37.5562864094302,127.018152983884
82,금호로  105,37.5523763631514,127.024553084225
83,독서당로 299-2,37.5483589593448,127.022451128356
84,독서당로 207,37.5438291500304,127.013910468016
85,독서당로 222,37.5438789755948,127.015361927595
86,독서당로 216,37.5435619909651,127.014757612776
87,금호로 40,37.5467055409212,127.025532888335
88,살곶이길  352,37.5567946202005,127.040985789877
89,마장로 310,37.5665081681751,127.044007966592
90,마장동  810,37.5666285516301,127.044461138041
91,천호대로 312,37.5649822509522,127.054560923079
92,용답동 232-6,37.5609292378813,127.064012708416
93,광나루로 337,37.5485118802394,127.067234924413
94,동일로 223,37.5518300236972,127.069198198862
95,광나루로 243,37.5494612677553,127.056943711312
96,뚝섬로 452,37.537176455916,127.060654486737
97,아차산로 120,37.5439102587684,127.057223283946
98,광나루로 328,37.5480241036004,127.06623594379
99,광나루로 297,37.5485015180617,127.062818735366
100,광나루로 319,37.5483807953041,127.065289766967
101,광나루로 190,37.5506588746343,127.050823354626
102,광나루로 142-1,37.551342616421,127.04605427656
